scheme_code,scheme_name,fund_house,scheme_type,scheme_category,net_asset_value,date
112663,Fortis Fixed Term Fund-Sr 16D-Calendar Yearly Dividend Option,Fortis Mutual Fund,Close Ended Schemes,Income,10.1526,20-10-2010
112664,Fortis Fixed Term Fund-Sr 16D-Calendar Quarterly Dividend Option,Fortis Mutual Fund,Close Ended Schemes,Income,9.9808,20-10-2010
112665,IDFC Capital Protection Oriented Fund - Series I Growth,IDFC Mutual Fund,Close Ended Schemes,Income,11.8174,02-04-2013
112666,IDFC Capital Protection Oriented Fund - Series I Dividend,IDFC Mutual Fund,Close Ended Schemes,Income,10,02-04-2013
112669,Birla Sun Life Fixed Term Plan-Series CA-Growth,Aditya Birla Sun Life Mutual Fund,Close Ended Schemes,Income,10.9322,08-06-2011
112670,Birla Sun Life Fixed Term Plan-Series CA-Dividend,Aditya Birla Sun Life Mutual Fund,Close Ended Schemes,Income,10,08-06-2011
112671,Birla Sun Life Fixed Term Plan-Series CB-Growth,Aditya Birla Sun Life Mutual Fund,Close Ended Schemes,Income,11.1327,08-09-2011
112672,HDFC FMP 24M February 2010 - DIVIDEND OPTION,HDFC Mutual Fund,Close Ended Schemes,Income,10,14-03-2012
112673,HDFC FMP 24M FEBRUARY 2010 - GROWTH OPTION,HDFC Mutual Fund,Close Ended Schemes,Income,11.5538,14-03-2012
112674,HDFC FMP 24M February 2010 - QUARTERLY DIVIDEND OPTION,HDFC Mutual Fund,Close Ended Schemes,Income,10,14-03-2012
112675,Reliance Fixed Horizon Fund - XIV - Series 1 - Dividend Payout Option,Reliance Mutual Fund,Close Ended Schemes,Income,10,29-06-2011
112676,Reliance Fixed Horizon Fund - XIV - Series 1 - Growth Option,Reliance Mutual Fund,Close Ended Schemes,Income,10.9831,29-06-2011
112677,Kotak FMP 24M Series 1 - Dividend,Kotak Mahindra Mutual Fund,Close Ended Schemes,Income,10,03-04-2012
112678,Kotak FMP 24M Series 1 - Growth,Kotak Mahindra Mutual Fund,Close Ended Schemes,Income,11.53481,03-04-2012
112679,Axis Fixed Term Plan - Series 1 (384 days) - Retail Option- Growth,Axis Mutual Fund,Close Ended Schemes,Income,10.7706,05-04-2011
112680,Axis Fixed Term Plan - Series 1 (384 days) - Retail Option - Dividend,Axis Mutual Fund,Close Ended Schemes,Income,10,05-04-2011
112681,Axis Fixed Term Plan - Series 1 (384 days) - Institutional Option - Dividend,Axis Mutual Fund,Close Ended Schemes,Income,0,05-04-2011
112682,Axis Fixed Term Plan - Series 1 (384 days) - Institutional Option- Quarterly Dividend,Axis Mutual Fund,Close Ended Schemes,Income,0,05-04-2011
112683,Axis Fixed Term Plan - Series 1 (384 days) - Retail Option - Quarterly Dividend,Axis Mutual Fund,Close Ended Schemes,Income,10,05-04-2011
112684,Axis Fixed Term Plan - Series 1 (384 days) - Institutional Option - Growth,Axis Mutual Fund,Close Ended Schemes,Income,0,05-04-2011
112686,JM Fixed Maturity Fund - Series XVIII - 15Monthly Plan 1 (JM FMF - XVIII - 15M1) - Regular plan - Dividend option,JM Financial Mutual Fund,Close Ended Schemes,Income,10,06-06-2011
112687,JM Fixed Maturity Fund - Series XVIII - 15Monthly Plan 1 (JM FMF - XVIII - 15M1) - Regular plan - Growth option,JM Financial Mutual Fund,Close Ended Schemes,Income,10.9584,06-06-2011
112688,IDFC Hybrid Portfolio Fund - Series I-Growth,IDFC Mutual Fund,Close Ended Schemes,Income,10.6535,28-09-2011
112689,IDFC Hybrid Portfolio Fund - Series I-Dividend,IDFC Mutual Fund,Close Ended Schemes,Income,10,28-09-2011
112690,Birla Sun Life Fixed Term Plan-Series CB-Dividend,Aditya Birla Sun Life Mutual Fund,Close Ended Schemes,Income,10,08-09-2011
112691,ICICI Prudential Fixed Maturity Plan - Series 51 - 3 Years Plan F Dividend,ICICI Prudential Mutual Fund,Close Ended Schemes,Income,10.3825,10-08-2012
112692,ICICI Prudential Fixed Maturity Plan - Series 51 - 3 Years Plan F Cumulative,ICICI Prudential Mutual Fund,Close Ended Schemes,Income,11.8757,10-08-2012
112693,Kotak FMP 13M Series 6 Growth,Kotak Mahindra Mutual Fund,Close Ended Schemes,Income,10.78916,05-04-2011
112694,Kotak FMP 13M Series 6 Dividend,Kotak Mahindra Mutual Fund,Close Ended Schemes,Income,10,05-04-2011
112695,DSP BlackRock FMP - 13M - Series 2- Growth,DSP Mutual Fund,Close Ended Schemes,Income,10.767,05-04-2011
112696,DSP BlackRock FMP - 13M - Series 2 - Dividend Payout,DSP Mutual Fund,Close Ended Schemes,Income,10.294,05-04-2011
112698,Principal Pnb Fixed Maturity Plan - 540 Days - Series IV - Dividend Option,PRINCIPAL Mutual Fund,Close Ended Schemes,Income,10,30-08-2011
112699,Principal Pnb Fixed Maturity Plan - 540 Days - Series IV - Growth Option,PRINCIPAL Mutual Fund,Close Ended Schemes,Income,11.0978,30-08-2011
112700,L&T Fixed Maturity Plan - Series 12 - Plan91D - March10 - I - Growth,L&T Mutual Fund,Close Ended Schemes,Income,10.1502,03-06-2010
112701,L&T Fixed Maturity Plan - Series 12 - Plan15M - March10 - I -Dividend Payout,L&T Mutual Fund,Close Ended Schemes,Income,10.004,14-06-2011
112702,IDFC Fixed Maturity Plan - Fourteen months Series 1-Dividend,IDFC Mutual Fund,Close Ended Schemes,Income,10,16-05-2011
112703,IDFC Fixed Maturity Plan - Fourteen months Series 1-Growth,IDFC Mutual Fund,Close Ended Schemes,Income,10.8671,16-05-2011
112704,Sundaram FTP - Z - Dividend Option,Sundaram Mutual Fund,Close Ended Schemes,Income,0,05-12-2011
112705,Sundaram FTP - Z - Growth Option,Sundaram Mutual Fund,Close Ended Schemes,Income,0,05-12-2011
112706,HDFC FMP 13M March 2010 - Dividend Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,21-04-2011
112707,HDFC FMP 13M March 2010 - Growth Option,HDFC Mutual Fund,Close Ended Schemes,Income,10.7998,21-04-2011
112708,HDFC FMP 13M March 2010 - Dividend Quarterly Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,21-04-2011
112709,Religare Fixed Maturity Plan-Series II-Plan A to F - Plan B - Growth,Invesco Mutual Fund,Close Ended Schemes,Income,10.9242,09-06-2011
112710,Religare Fixed Maturity Plan-Series II-Plan A to F - Plan B - Dividend Payout,Invesco Mutual Fund,Close Ended Schemes,Income,10.0426,09-06-2011
112711,L&T Fixed Maturity Plan - Series 12 - Plan91D - March10 - II -Dividend (Payout),L&T Mutual Fund,Close Ended Schemes,Income,10,16-06-2010
112712,Axis Liquid Fund - Retail Plan - Daily IDCW,Axis Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,1000.9559,29-10-2023
112713,Axis Liquid Fund - Retail Plan - Growth Option,Axis Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,2385.7001,29-10-2023
112714,Axis Liquid Fund - Retail Plan - Monthly IDCW,Axis Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,1001.3816,29-10-2023
112715,Axis Liquid Fund - Retail Plan - Weekly IDCW,Axis Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,1001.7093,29-10-2023
112716,L&T Fixed Maturity Plan - Series 12 - Plan15M - March10 - II - Growth Option,L&T Mutual Fund,Close Ended Schemes,Income,10.8839,22-06-2011
112717,Axis Treasury Advantage Fund - Retail Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,2557.3354,27-10-2023
112718,Axis Treasury Advantage Fund - Retail Plan - Monthly IDCW,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,1009.9157,27-10-2023
112719,Axis Treasury Advantage Fund - Retail Plan - Weekly IDCW,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,1012.4315,27-10-2023
112720,Axis Treasury Advantage Fund - Retail Plan - Daily IDCW,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,1012.4736,27-10-2023
112721,Axis Short Term Fund - Retail Plan - Growth Option,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,26.6213,27-10-2023
112722,Axis Short Term Fund - Retail Plan - Weekly IDCW,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,10.2396,27-10-2023
112723,Axis Short Term Fund - Retail Plan - Monthly IDCW,Axis Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,10.0094,27-10-2023
112724,Reliance Fixed Horizon Fund - XIV - Series 2- Growth Option,Reliance Mutual Fund,Close Ended Schemes,Income,11.0178,28-07-2011
112725,Reliance Fixed Horizon Fund - XIV - Series 2 - Dividend Payout,Reliance Mutual Fund,Close Ended Schemes,Income,10,28-07-2011
112726,Reliance Fixed Horizon Fund - XIV - Series 3 Dividend Payout,Reliance Mutual Fund,Close Ended Schemes,Income,10,15-09-2011
112727,Reliance Fixed Horizon Fund - XIV - Series 3 - Growth Option,Reliance Mutual Fund,Close Ended Schemes,Income,11.0961,15-09-2011
112730,DWS Fixed Term Fund Sr 69 Dividend Option,Deutsche Mutual Fund,Close Ended Schemes,Income,10,03-08-2011
112731,DWS Fixed Term Fund Sr 69 Growth Option,Deutsche Mutual Fund,Close Ended Schemes,Income,10.9947,03-08-2011
112734,Kotak FMP 18M Series 4 - Dividend,Kotak Mahindra Mutual Fund,Close Ended Schemes,Income,10,19-09-2011
112735,Kotak FMP 18M Series 4 - Growth,Kotak Mahindra Mutual Fund,Close Ended Schemes,Income,11.06999,19-09-2011
112742,Birla Sun Life Fixed Term Plan - Series CC-Dividend,Aditya Birla Sun Life Mutual Fund,Close Ended Schemes,Income,10,19-04-2011
112743,Birla Sun Life Fixed Term Plan - Series CC-Growth,Aditya Birla Sun Life Mutual Fund,Close Ended Schemes,Income,10.747,19-04-2011
112746,L&T Fixed Maturity Plan - Series 12 - Plan91D - March10 - I-Dividend Payout,L&T Mutual Fund,Close Ended Schemes,Income,10,03-06-2010
112747,IDFC Fixed Maturity Plan QS 55-Dividend,IDFC Mutual Fund,Close Ended Schemes,Income,10,22-06-2010
112748,IDFC Fixed Maturity Plan QS 55-Growth,IDFC Mutual Fund,Close Ended Schemes,Income,10.1481,22-06-2010
112749,Sundaram FTP - AA - Dividend Option,Sundaram Mutual Fund,Close Ended Schemes,Income,0,03-06-2011
112750,Sundaram FTP - AA - Growth Option,Sundaram Mutual Fund,Close Ended Schemes,Income,0,03-06-2011
112751,HDFC FMP 14M March 2010 - Dividend Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,25-05-2011
112752,HDFC FMP 14M March 2010 - Dividend Quarterly Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,25-05-2011
112753,HDFC FMP 14M March 2010 - Growth Option,HDFC Mutual Fund,Close Ended Schemes,Income,10.8438,25-05-2011
112756,Sundaram FTP - U - Dividend Payout Option,Sundaram Mutual Fund,Close Ended Schemes,Income,0,03-06-2011
112757,Sundaram FTP - U - Growth Option,Sundaram Mutual Fund,Close Ended Schemes,Income,0,03-06-2011
112765,Kotak FMP 370 Days Series 2 - Dividend,Kotak Mahindra Mutual Fund,Close Ended Schemes,Income,10,05-04-2011
112766,Kotak FMP 370 Days Series 2 - Growth,Kotak Mahindra Mutual Fund,Close Ended Schemes,Income,10.67013,05-04-2011
112767,HDFC FMP 367D March 2010 -Dividend Quarterly Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,05-04-2011
112768,HDFC FMP 367D March 2010 - Growth Option,HDFC Mutual Fund,Close Ended Schemes,Income,10.7224,05-04-2011
112769,HDFC FMP 367D March 2010-Dividend Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,05-04-2011
112772,DSP BlackRock FMP - 13M - Series 3 - Growth,DSP Mutual Fund,Close Ended Schemes,Income,10.6877,11-04-2011
112777,Tata Fixed Maturity Plan Series 26 - Scheme A - Growth,Tata Mutual Fund,Close Ended Schemes,Income,0,09-06-2011
112778,Tata Fixed Maturity Plan Series 26 - Scheme A - Periodic Dividend,Tata Mutual Fund,Close Ended Schemes,Income,0,09-06-2011
112779,Tata Fixed Maturity Plan Series 26 - Scheme A - Quarterly Dividend,Tata Mutual Fund,Close Ended Schemes,Income,0,09-06-2011
112780,Fortis Fixed Term Fund-Sr 17A-Calendar Yearly Dividend Option,Fortis Mutual Fund,Close Ended Schemes,Income,10.1965,20-10-2010
112781,Fortis Fixed Term Fund-Sr 17A - Dividend On Maturity Option,Fortis Mutual Fund,Close Ended Schemes,Income,10.1965,20-10-2010
112782,Fortis Fixed Term Fund-Sr 17A-Growth Option,Fortis Mutual Fund,Close Ended Schemes,Income,10.1965,20-10-2010
112783,Fortis Fixed Term Fund-Sr 17A-Calendar Quarterly Dividend Option,Fortis Mutual Fund,Close Ended Schemes,Income,10.0493,20-10-2010
112784,JPMorgan India Short Term Income Fund - Regular Plan - Growth Option,JPMorgan Mutual Fund,Open Ended Schemes,Income,14.4833,24-11-2016
112785,JPMorgan India Short Term Income Fund - Regular Plan - Weekly Dividend Option,JPMorgan Mutual Fund,Open Ended Schemes,Income,9.296,24-11-2016
112787,JPMorgan India Short Term Income Fund - Regular Plan - Fortnightly Dividend Option,JPMorgan Mutual Fund,Open Ended Schemes,Income,9.3409,24-11-2016
112789,JPMorgan India Short Term Income Fund - Regular Plan - Monthly Dividend Option,JPMorgan Mutual Fund,Open Ended Schemes,Income,9.292,24-11-2016
112791,Religare Fixed Maturity Plan - Series II - Plan C - Dividend Payout Option,Invesco Mutual Fund,Close Ended Schemes,Income,10.0788,21-06-2011
112792,Religare Fixed Maturity Plan - Series II - Plan C - Growth Option,Invesco Mutual Fund,Close Ended Schemes,Income,10.8968,21-06-2011
112795,DWS Fixed Term Fund - Series 67 - Growth Option,Deutsche Mutual Fund,Close Ended Schemes,Income,10.7379,25-04-2011
112796,IDFC Fixed Maturity Plan - Thirteen months Series 5-Dividend,IDFC Mutual Fund,Close Ended Schemes,Income,10,28-04-2011
112797,IDFC Fixed Maturity Plan - Thirteen months Series 5-Growth,IDFC Mutual Fund,Close Ended Schemes,Income,10.7102,28-04-2011
112804,Canara Robeco Fixed Maturity Plan - Series 5 - 13 Months (Plan A) - Dividend Option,Canara Robeco Mutual Fund,Close Ended Schemes,Income,10,12-04-2011
112805,Canara Robeco Fixed Maturity Plan - Series 5 - 13 Months (Plan A) - Growth Option,Canara Robeco Mutual Fund,Close Ended Schemes,Income,10.7724,12-04-2011
112806,Reliance Fixed Horizon Fund - XIV - Series 7 - Growth Option,Reliance Mutual Fund,Close Ended Schemes,Income,11.7387,28-05-2012
112807,UTI FTIF - Series VII -Plan II - Income Option,UTI Mutual Fund,Close Ended Schemes,Income,10,13-04-2011
112808,UTI FTIF - Series VII -Plan II - Growth Option,UTI Mutual Fund,Close Ended Schemes,Income,10.7988,13-04-2011
112809,Religare Fixed Maturity Plan-Series II- Plan E - Growth option,Invesco Mutual Fund,Close Ended Schemes,Income,11.104,03-10-2011
112810,Religare Fixed Maturity Plan-Series II- Plan E - Dividend Payout option,Invesco Mutual Fund,Close Ended Schemes,Income,11.104,03-10-2011
112811,Taurus Fixed Maturity Plan 370 days - Series 3 - Retail Growth Plan,Taurus Mutual Fund,Close Ended Schemes,Income,10.7331,31-03-2011
112812,Taurus Fixed Maturity Plan 370 days - Series 3 - Retail Div Plan,Taurus Mutual Fund,Close Ended Schemes,Income,10.7331,31-03-2011
112813,Bharti AXA Fixed Maturity  Plan - Series C - Plan 1-Growth,BOI AXA Mutual Fund,Close Ended Schemes,Income,10.7399,20-04-2011
112821,Reliance Fixed Horizon Fund - XIV-Series 4 - Growth Option,Reliance Mutual Fund,Close Ended Schemes,Income,11.0586,26-09-2011
112822,L&T Fixed Maturity Plan - Series 12 - Plan15M - March10 - I - Growth,L&T Mutual Fund,Close Ended Schemes,Income,10.9405,14-06-2011
112825,Kotak FMP 18M Series 5 - Growth,Kotak Mahindra Mutual Fund,Close Ended Schemes,Income,11.0325,26-09-2011
112826,Kotak FMP 18M Series 5 - Dividend,Kotak Mahindra Mutual Fund,Close Ended Schemes,Income,10,26-09-2011
112827,Kotak FMP 370 Days Series 3 - Dividend,Kotak Mahindra Mutual Fund,Close Ended Schemes,Income,10,05-04-2011
112828,Kotak FMP 370 Days Series 3 - Growth,Kotak Mahindra Mutual Fund,Close Ended Schemes,Income,10.67483,05-04-2011
112829,HDFC FMP 100D MARCH 2010 (1) - Growth Option,HDFC Mutual Fund,Close Ended Schemes,Income,0,01-04-2011
112830,HDFC FMP 100D MARCH 2010 (1) - Dividend Option,HDFC Mutual Fund,Close Ended Schemes,Income,0,01-04-2011
112831,HDFC FMP 13M March 2010 (2) - Dividend Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,02-05-2011
112832,HDFC FMP 13M March 2010 (2) - Dividend Quarterly Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,02-05-2011
112833,HDFC FMP 13M March 2010 (2) - Growth Option,HDFC Mutual Fund,Close Ended Schemes,Income,10.7689,02-05-2011
112834,DWS Fixed Term Fund - Series 67 - Dividend Option,Deutsche Mutual Fund,Close Ended Schemes,Income,10.3726,25-04-2011
112835,Religare Fixed Maturity Plan - Series II - Plan F - Dividend Payout Option,Invesco Mutual Fund,Close Ended Schemes,Income,10.1358,29-04-2011
112836,Religare Fixed Maturity Plan - Series II - Plan F - Growth Option,Invesco Mutual Fund,Close Ended Schemes,Income,10.734,29-04-2011
112837,Birla Sun Life Fixed Term Plan - Series CD - Growth,Aditya Birla Sun Life Mutual Fund,Close Ended Schemes,Income,10.6663,05-04-2011
112838,Birla Sun Life Fixed Term Plan - Series CD - Dividend,Aditya Birla Sun Life Mutual Fund,Close Ended Schemes,Income,10,05-04-2011
112839,Taurus FMP 385D S-I RP-Dividend,Taurus Mutual Fund,Close Ended Schemes,Income,10,07-04-2011
112840,Taurus FMP 385D S-I Inst Plan-G,Taurus Mutual Fund,Close Ended Schemes,Income,10.7814,07-04-2011
112841,Taurus FMP 385D S-I Inst Plan-Dividend,Taurus Mutual Fund,Close Ended Schemes,Income,0,07-04-2011
112842,Taurus FMP 385D S-I RP-G,Taurus Mutual Fund,Close Ended Schemes,Income,10.7533,07-04-2011
112845,Reliance Fixed Horizon Fund - XIV - Series 8 - Growth Option,Reliance Mutual Fund,Close Ended Schemes,Income,11.3004,07-12-2011
112846,Reliance Fixed Horizon Fund - XIV - Series 5 - Growth Option,Reliance Mutual Fund,Close Ended Schemes,Income,10.8759,11-07-2011
112849,UTI-FMP-Yearly Series March 10 - Income Option,UTI Mutual Fund,Close Ended Schemes,Income,10,25-04-2011
112850,UTI-FMP-Yearly Series March 10 - Growth Option,UTI Mutual Fund,Close Ended Schemes,Income,10.7307,25-04-2011
112851,UTI-FMP-Yearly Series March 10 - Instn Growth Option,UTI Mutual Fund,Close Ended Schemes,Income,10.7731,25-04-2011
112852,L&T Fixed Maturity Plan - Series 12 - Plan91D - March10 - II - Growth,L&T Mutual Fund,Close Ended Schemes,Income,10.1437,16-06-2010
112853,DWS Global Agribusiness Fund - Growth,Deutsche Mutual Fund,Open Ended Schemes,Income,13.23,02-03-2016
112854,DWS Global Agribusiness Fund - Dividend,Deutsche Mutual Fund,Open Ended Schemes,Income,12.41,02-03-2016
112855,Reliance Fixed Horizon Fund - XIV-Series 4 - Dividend Payout Option,Reliance Mutual Fund,Close Ended Schemes,Income,10,26-09-2011
112856,Reliance Fixed Horizon Fund - XIV - Series 5 - Dividend Payout Option,Reliance Mutual Fund,Close Ended Schemes,Income,10.0086,31-03-2010
112857,Reliance Fixed Horizon Fund - XIV - Series 7 - Dividend Payout Option,Reliance Mutual Fund,Close Ended Schemes,Income,10,28-05-2012
112858,Reliance Fixed Horizon Fund - XIV - Series 8 - Dividend Payout Option,Reliance Mutual Fund,Close Ended Schemes,Income,10.0096,31-03-2010
112859,ING Gilt Fund Provident Fund - Dynamic Plan-Cyclical Series Option 2010,ING Mutual Fund,Open Ended Schemes,Income,10.6044,25-03-2011
112861,HDFC FMP 13M March 2010 (3) - Growth Option,HDFC Mutual Fund,Close Ended Schemes,Income,10.7281,02-05-2011
112862,HDFC FMP 13M March 2010 (3) - Dividend Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,02-05-2011
112863,HDFC FMP 13M March 2010 (3) - Dividend Quarterly Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,02-05-2011
112864,DSP BlackRock FMP - 13M - Series 3 - Dividend Payout,DSP Mutual Fund,Close Ended Schemes,Income,10.3017,11-04-2011
112865,L&T Fixed Maturity Plan - Series 12 - Plan15M - March10 - II - Div Payout,L&T Mutual Fund,Close Ended Schemes,Income,10,22-06-2011
112866,Reliance Fixed Horizon Fund - XIV - Series 9 - Growth Option,Reliance Mutual Fund,Close Ended Schemes,Income,11.631,16-05-2012
112867,Sundaram Debt Oriented Hybrid Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),Sundaram Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,13.1763,27-10-2023
112868,Sundaram Debt Oriented Hybrid Fund Regular Plan - Growth,Sundaram Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,25.4548,27-10-2023
112869,Sundaram Debt Oriented Hybrid Fund Regular Plan - Half yearly Income Distribution cum Capital Withdrawal (IDCW),Sundaram Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,16.7857,27-10-2023
112870,Sundaram Debt Oriented Hybrid Fund Regular Plan - Quarterly Income Distribution cum Capital Withdrawal (IDCW),Sundaram Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,16.8642,27-10-2023
112871,Sundaram Regular Savings Fund - Half-yearly Dividend,Sundaram Mutual Fund,103182;-;-;Aditya Birla Sun Life Income Fund-Plan G,54EB Growth,12.2254,04-05-2018
112872,Sundaram Regular Savings Fund - Quarterly Dividend,Sundaram Mutual Fund,103182;-;-;Aditya Birla Sun Life Income Fund-Plan G,54EB Growth,11.9959,04-05-2018
112873,Sundaram Regular Savings Fund - DIVIDEND,Sundaram Mutual Fund,103182;-;-;Aditya Birla Sun Life Income Fund-Plan G,54EB Growth,12.363,04-05-2018
112874,Sundaram Regular Savings Fund - GROWTH,Sundaram Mutual Fund,103182;-;-;Aditya Birla Sun Life Income Fund-Plan G,54EB Growth,16.741,04-05-2018
112875,Canara Robeco Fixed Maturity Plan - Series 5 - 13 Months (Plan B) - Dividend Option,Canara Robeco Mutual Fund,Close Ended Schemes,Income,10,02-05-2011
112876,Canara Robeco Fixed Maturity Plan - Series 5 - 13 Months (Plan B) - Growth Option,Canara Robeco Mutual Fund,Close Ended Schemes,Income,10.7462,02-05-2011
112877,BANDHAN Nifty 50 Index Fund - Regular Plan - Growth,Bandhan Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,40.6424,27-10-2023
112878,BANDHAN Nifty 50 Index Fund - Regular Plan - IDCW,Bandhan Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,36.8789,27-10-2023
112879,Kotak Credit Opportunities Fund - Monthly Dividend,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,10.1277,06-07-2012
112880,Kotak Credit Opportunities Fund - Growth,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,11.6986,06-07-2012
112881,Kotak Credit Opportunities Fund - Weekly Dividend,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,10.0208,06-07-2012
112882,Kotak Credit Opportunities Fund - Quarterly Dividend,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,10.2299,06-07-2012
112883,Kotak Credit Opportunities Fund - Annual Dividend,Kotak Mahindra Mutual Fund,Open Ended Schemes,Income,10.3976,06-07-2012
112884,Religare Invesco Monthly Income Plan - Monthly Dividend,Invesco Mutual Fund,Open Ended Schemes,Income,1109.7307,29-01-2016
112886,Religare Invesco Monthly Income Plan - Growth Option,Invesco Mutual Fund,Open Ended Schemes,Income,1461.507,29-01-2016
112887,Invesco India Regular Savings Fund - Growth,Invesco Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,1809.1951,24-04-2019
112888,Invesco India Regular Savings Fund - Monthly Dividend,Invesco Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,1244.6522,24-04-2019
112890,IDFC Liquid Fund- Plan F Growth,IDFC Mutual Fund,Open Ended Schemes,Income,11.0434,06-10-2011
112891,IDFC Liquid Fund- Plan F Dividend,IDFC Mutual Fund,Open Ended Schemes,Income,10.0628,06-10-2011
112892,Birla Sun Life Capital Protection Oriented Fund - Series 2 - Growth,Aditya Birla Sun Life Mutual Fund,Close Ended Schemes,Income,11.476,10-06-2013
112894,Reliance Fixed Horizon Fund - XIV - Series 9 - Dividend Payout Option,Reliance Mutual Fund,Close Ended Schemes,Income,10,16-05-2012
112895,HDFC FMP 367D April 2010 (1)- Dividend Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,02-05-2011
112896,HDFC FMP 367D April 2010 (1)- Quarterly Dividend Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,02-05-2011
112897,HDFC FMP 367D April 2010 (1)- Growth Option,HDFC Mutual Fund,Close Ended Schemes,Income,10.672,02-05-2011
112898,HDFC FMP 36M April 2010- Dividend Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,06-05-2013
112899,HDFC FMP 36M April 2010- Growth Option,HDFC Mutual Fund,Close Ended Schemes,Income,12.5473,06-05-2013
112900,HDFC FMP 36M April 2010- Quarterly Dividend Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,06-05-2013
112901,DSP Focus Fund - Regular Plan - Growth,DSP Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,37.817,27-10-2023
112902,Reliance Fixed Horizon Fund - XV - Series 4 - Dividend Payout Option,Reliance Mutual Fund,Close Ended Schemes,Income,10,04-05-2011
112903,Reliance Fixed Horizon Fund - XV - Series 4 - Growth Option,Reliance Mutual Fund,Close Ended Schemes,Income,10.6762,04-05-2011
112905,HDFC FMP 367D APRIL 2010 (2) - Growth Option,HDFC Mutual Fund,Close Ended Schemes,Income,10.6579,13-05-2011
112906,HDFC FMP 367D APRIL 2010 (2) - Dividend Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,13-05-2011
112907,HDFC FMP 367D APRIL 2010 (2) - Quarterly Dividend Option,HDFC Mutual Fund,Close Ended Schemes,Income,10,13-05-2011
112909,UTI FTIF Series VII - III (367 D) - Income Option,UTI Mutual Fund,Close Ended Schemes,Income,10,25-04-2011
112910,UTI FTIF Series VII - III (367 D) - Growth Option,UTI Mutual Fund,Close Ended Schemes,Income,10.6661,25-04-2011
112913,Reliance Dual Advantage Fixed Tenure Fund - Plan A - Growth option,Reliance Mutual Fund,Close Ended Schemes,Income,12.4958,30-05-2013
112914,Reliance Dual Advantage Fixed Tenure Fund - Plan A - Dividend Payout option,Reliance Mutual Fund,Close Ended Schemes,Income,10,30-05-2013
112917,Reliance Fixed Horizon Fund - XIV - Series 10 - Dividend Payout Option,Reliance Mutual Fund,Close Ended Schemes,Income,10,07-05-2012
112918,Reliance Fixed Horizon Fund - XIV - Series 10 - Growth Option,Reliance Mutual Fund,Close Ended Schemes,Income,11.5417,07-05-2012
112921,Aditya Birla Sun Life India Reforms Fund-GROWTH,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,19.68,18-05-2018
112922,Aditya Birla Sun Life India Reforms Fund-DIVIDEND,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,13.92,18-05-2018
