scheme_code,scheme_name,fund_house,scheme_type,scheme_category,net_asset_value,date
151034,HSBC Midcap Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,250.4293,27-10-2023
151035,HSBC Midcap Fund - Direct IDCW,HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,62.2151,27-10-2023
151036,HSBC Midcap Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,277.9058,27-10-2023
151037,HSBC Infrastructure Fund - Regular Growth,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,32.0271,27-10-2023
151038,HSBC Infrastructure Fund - Regular IDCW,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,27.3021,27-10-2023
151039,HSBC Infrastructure Fund - Direct IDCW,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,30.0418,27-10-2023
151040,HSBC Infrastructure Fund - Direct Growth,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,35.3692,27-10-2023
151041,HSBC Credit Risk Fund- Regular Plan - Bonus,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,25.0479,27-10-2023
151042,HSBC Credit Risk Fund - Regular IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,10.2655,27-10-2023
151043,HSBC Credit Risk Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,25.4547,27-10-2023
151044,HSBC Credit Risk Fund - Direct IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,11.0716,27-10-2023
151045,HSBC Credit Risk Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,27.2288,27-10-2023
151046,HSBC Credit Risk Fund - Regular Annual IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,12.0259,27-10-2023
151047,HSBC Credit Risk Fund - Direct Annual IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Credit Risk Fund,12.7713,27-10-2023
151048,HSBC Money Market Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,23.3565,27-10-2023
151049,HSBC Money Market Fund - Regular Daily IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,10.8591,27-10-2023
151050,HSBC Money Market Fund - Regular Weekly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,13.0967,27-10-2023
151051,HSBC Money Market Fund - Regular Monthly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,11.5437,27-10-2023
